step_name,loss
0,0.047313
1,0.051094
2,0.082636
3,0.085374
4,0.112643
5,0.109309
6,0.116457
7,0.053658
8,0.107855
9,0.069256
10,0.081994
11,0.100784
12,0.070068
13,0.045408
14,0.108136
15,0.054550
16,0.048173
17,0.059450
18,0.055664
19,0.044760
20,0.050126
21,0.058635
22,0.050179
23,0.115539
24,0.117048
25,0.116472
26,0.045191
27,0.108566
28,0.048334
29,0.075097
30,0.053944
31,0.070830
32,0.093717
33,0.106650
34,0.060507
35,0.071119
36,0.063892
37,0.060327
38,0.112870
39,0.062618
40,0.111959
41,0.050835
42,0.102809
43,0.044521
44,0.061605
45,0.112256
46,0.087443
47,0.107401
48,0.052199
49,0.181253
50,0.104613
51,0.166741
52,0.103137
53,0.163076
54,0.140785
55,0.148172
56,0.169098
57,0.170025
58,0.131416
59,0.155066
60,0.139381
61,0.119091
62,0.104232
63,0.128804
64,0.201188
65,0.127915
66,0.147713
67,0.163145
68,0.156524
69,0.171600
70,0.160743
71,0.126222
72,0.151617
73,0.135689
74,0.173954
75,0.048673
76,0.154934
77,0.148046
78,0.152707
79,0.144331
80,0.161313
81,0.133009
82,0.046195
83,0.128827
84,0.121327
85,0.082018
86,0.070921
87,0.078811
88,0.077115
89,0.086153
90,0.125452
91,0.088088
92,0.086402
93,0.078346
94,0.103643
95,0.056287
96,0.086334
97,0.058385
98,0.142666
99,0.077631
100,0.050797
101,0.091230
102,0.097616
103,0.059884
104,0.089222
105,0.045241
106,0.111663
107,0.080362
108,0.138833
109,0.104933
110,0.046909
111,0.124088
112,0.156595
113,0.112530
114,0.043355
115,0.056536
116,0.139314
117,0.090879
118,0.059723
119,0.114002
120,0.141615
121,0.086659
122,0.044538
123,0.071283
124,0.104570
125,0.055202
126,0.073519
127,0.079963
128,0.053032
129,0.101226
130,0.113559
131,0.109830
132,0.146377
133,0.121199
134,0.080335
135,0.093011
136,0.087518
137,0.077786
138,0.074470
139,0.121499
140,0.081918
141,0.069883
142,0.105478
143,0.143232
144,0.072886
145,0.114762
146,0.074960
147,0.103894
148,0.102839
149,0.106572
150,0.123649
151,0.108459
152,0.052222
153,0.099036
154,0.100507
155,0.084942
156,0.068034
157,0.070692
158,0.079823
159,0.085812
160,0.126232
161,0.148818
162,0.144023
163,0.066215
164,0.099777
165,0.100614
166,0.097027
167,0.067893
168,0.060875
169,0.047693
170,0.116123
171,0.112756
172,0.105656
173,0.091360
174,0.113768
175,0.099107
176,0.057858
177,0.105075
178,0.100647
179,0.078012
180,0.045832
181,0.046252
182,0.080036
183,0.138057
184,0.076337
185,0.079228
186,0.074712
187,0.114795
188,0.145697
189,0.046947
190,0.092098
191,0.124482
192,0.071540
193,0.051329
194,0.156194
195,0.084830
196,0.067833
197,0.091925
198,0.113077
199,0.048005
200,0.085007
201,0.068979
202,0.094974
203,0.054905
204,0.050221
205,0.145770
206,0.108417
207,0.076729
208,0.172716
209,0.125258
210,0.113151
211,0.083515
212,0.103601
213,0.068152
214,0.115129
215,0.056748
216,0.147277
217,0.106339
218,0.051566
219,0.101127
220,0.126179
221,0.043145
222,0.099139
223,0.095906
224,0.074721
225,0.072255
226,0.077068
227,0.100632
228,0.078393
229,0.063130
230,0.058023
231,0.151778
232,0.141980
233,0.057266
234,0.116910
235,0.057702
236,0.093543
237,0.138827
238,0.096526
239,0.112482
240,0.094125
241,0.076694
242,0.066879
243,0.130594
244,0.050213
245,0.100429
246,0.057018
247,0.098649
248,0.113949
249,0.082090
250,0.145466
251,0.086297
252,0.048846
253,0.051818
254,0.065361
255,0.095119
256,0.058951
257,0.077239
258,0.128827
259,0.137688
260,0.135582
261,0.052785
262,0.078125
263,0.099919
264,0.070247
265,0.054877
266,0.091563
267,0.059670
268,0.064390
269,0.085131
270,0.152168
271,0.139079
272,0.058843
273,0.097607
274,0.084457
275,0.062570
276,0.063321
277,0.123073
278,0.110173
279,0.099267
280,0.079631
281,0.148175
282,0.057908
283,0.046669
284,0.050057
285,0.088749
286,0.104814
287,0.131810
288,0.090862
289,0.108610
290,0.137604
291,0.069655
292,0.101838
293,0.083563
294,0.071309
295,0.064842
296,0.106433
297,0.052451
298,0.105464
299,0.052204
300,0.091507
301,0.110833
302,0.125976
303,0.073815
304,0.077074
305,0.056440
306,0.095852
307,0.078947
308,0.047458
309,0.057205
310,0.047360
311,0.087243
312,0.149327
313,0.122340
314,0.067703
315,0.066720
316,0.079472
317,0.101617
318,0.062760
319,0.078477
320,0.094887
321,0.049591
322,0.049047
323,0.129980
324,0.130788
325,0.101494
326,0.093173
327,0.066100
328,0.047671
329,0.079829
330,0.119246
331,0.050808
332,0.102128
333,0.084380
334,0.042101
335,0.145123
336,0.153289
337,0.090162
338,0.098827
339,0.143328
340,0.132253
341,0.105100
342,0.045438
343,0.161282
344,0.110666
345,0.136782
346,0.071868
347,0.091916
348,0.124779
349,0.056472
350,0.119629
351,0.118832
352,0.084915
353,0.081831
354,0.112417
355,0.073703
356,0.086532
357,0.079488
358,0.069568
359,0.047441
360,0.054805
361,0.123337
362,0.073277
363,0.123399
364,0.088440
365,0.047272
366,0.077721
367,0.049760
368,0.153283
369,0.051023
370,0.153891
371,0.063182
372,0.148559
373,0.118945
374,0.044253
375,0.085367
376,0.094119
377,0.119911
378,0.043313
379,0.135136
380,0.049181
381,0.131286
382,0.101111
383,0.069550
384,0.048112
385,0.099981
386,0.088545
387,0.096285
388,0.068168
389,0.119900
390,0.084104
391,0.107285
392,0.063128
393,0.058998
394,0.101931
395,0.099934
396,0.113524
397,0.094779
398,0.082468
399,0.084828
400,0.045797
401,0.048928
402,0.078607
403,0.069148
404,0.088884
405,0.117319
406,0.114014
407,0.116084
408,0.067569
409,0.106202
410,0.066464
411,0.047477
412,0.062561
413,0.102311
414,0.161512
415,0.099145
416,0.082162
417,0.094160
418,0.048714
419,0.072483
420,0.103569
421,0.087608
422,0.057828
423,0.043532
424,0.095813
425,0.058613
426,0.050069
427,0.104282
428,0.096894
429,0.053058
430,0.066159
431,0.081419
432,0.078311
433,0.128542
434,0.082703
435,0.040822
436,0.101641
437,0.063716
438,0.071624
439,0.048100
440,0.058335
441,0.083656
442,0.115177
443,0.178941
444,0.110629
445,0.129032
446,0.097650
447,0.076723
448,0.072460
449,0.126359
450,0.093834
451,0.077545
452,0.047144
453,0.106440
454,0.098436
455,0.073329
456,0.060720
457,0.089375
458,0.117121
459,0.095537
460,0.096838
461,0.113715
462,0.055517
463,0.101248
464,0.069669
465,0.061606
466,0.102152
467,0.047996
468,0.065565
469,0.111092
470,0.104754
471,0.080832
472,0.047787
473,0.106146
474,0.113296
475,0.050762
476,0.047676
477,0.103629
478,0.088976
479,0.071033
480,0.112092
481,0.088427
482,0.070668
483,0.121632
484,0.058342
485,0.121064
486,0.098758
487,0.065780
488,0.128296
489,0.071738
490,0.072305
491,0.131918
492,0.152207
493,0.050173
494,0.084512
495,0.076618
496,0.062524
497,0.051271
498,0.099009
499,0.109301
500,0.115699
501,0.098679
502,0.053402
503,0.125997
504,0.084629
505,0.084419
506,0.083331
507,0.097331
508,0.096409
509,0.088496
510,0.091126
511,0.141261
512,0.112632
513,0.108300
514,0.124192
515,0.116911
516,0.103529
517,0.084393
518,0.067128
519,0.118478
520,0.129184
521,0.072293
522,0.048501
523,0.050265
524,0.056107
525,0.081444
526,0.080261
527,0.103112
528,0.157100
529,0.100015
530,0.117182
531,0.082263
532,0.130063
533,0.057569
534,0.047352
535,0.050146
536,0.080328
537,0.068214
538,0.138732
539,0.070859
540,0.050063
541,0.080862
542,0.096688
543,0.098666
544,0.110792
545,0.069539
546,0.077430
547,0.075373
548,0.084373
549,0.128840
550,0.092898
551,0.121145
552,0.123982
553,0.077308
554,0.044095
555,0.102940
556,0.059893
557,0.109129
558,0.102742
559,0.067247
560,0.052716
561,0.055424
562,0.105061
563,0.044488
564,0.047853
565,0.129819
566,0.089526
567,0.103684
568,0.103037
569,0.084476
570,0.141712
571,0.093784
572,0.094778
573,0.108906
574,0.058978
575,0.118132
576,0.083128
577,0.112052
578,0.093801
579,0.082821
580,0.077105
581,0.071201
582,0.162446
583,0.067111
584,0.068942
585,0.048934
586,0.138785
587,0.079167
588,0.119679
589,0.086078
590,0.059048
591,0.092715
592,0.082845
593,0.135083
594,0.051982
595,0.070826
596,0.132343
597,0.161348
598,0.120533
599,0.101218
600,0.165246
601,0.109897
602,0.121509
603,0.126322
604,0.071226
605,0.073116
606,0.138138
607,0.050521
608,0.136606
609,0.091606
610,0.143763
611,0.128450
612,0.169849
613,0.133900
614,0.059077
615,0.111016
616,0.140486
617,0.161920
618,0.126872
619,0.090965
620,0.100240
621,0.128162
622,0.137538
623,0.107417
624,0.138204
625,0.068325
626,0.180228
627,0.127480
628,0.111094
629,0.105905
630,0.093767
631,0.109851
632,0.102515
633,0.119900
634,0.143952
635,0.165380
636,0.209908
637,0.140579
638,0.177127
639,0.125229
640,0.145340
641,0.079965
642,0.165025
643,0.120915
644,0.166365
645,0.139293
646,0.145308
647,0.103725
648,0.112587
649,0.171877
650,0.165595
651,0.065532
652,0.242024
653,0.100861
654,0.088156
655,0.134730
656,0.214684
657,0.093353
658,0.166783
659,0.191908
660,0.061354
661,0.194011
662,0.163327
663,0.124743
664,0.156803
665,0.119371
666,0.126444
667,0.171095
668,0.192739
669,0.142360
670,0.133667
671,0.098588
672,0.143103
673,0.104735
674,0.059327
675,0.120864
676,0.103897
677,0.197712
678,0.127008
679,0.217165
680,0.129385
681,0.165063
682,0.193682
683,0.145710
684,0.149866
685,0.133229
686,0.169281
687,0.122331
688,0.138250
689,0.108960
690,0.175066
691,0.147562
692,0.125738
693,0.101032
694,0.071828
695,0.127418
696,0.171743
697,0.122903
698,0.165642
699,0.155582
700,0.200747
701,0.193260
702,0.169647
703,0.150828
704,0.158172
705,0.151874
706,0.158809
707,0.190012
708,0.223914
709,0.167275
710,0.139254
711,0.182379
712,0.051015
713,0.144850
714,0.119767
715,0.196637
716,0.122921
717,0.138860
718,0.053893
719,0.087365
720,0.165775
721,0.113568
722,0.074464
723,0.070301
724,0.157980
725,0.069110
726,0.144707
727,0.216480
728,0.127007
729,0.098719
730,0.152932
731,0.087045
732,0.113704
733,0.161749
734,0.114251
735,0.133494
736,0.185955
737,0.134948
738,0.131073
739,0.100487
740,0.190577
741,0.175056
742,0.095608
743,0.228131
744,0.180119
745,0.127192
746,0.138015
747,0.143835
748,0.142897
749,0.162501
750,0.155338
751,0.185618
752,0.135397
753,0.096548
754,0.073735
755,0.141455
756,0.095693
757,0.124032
758,0.115721
759,0.190794
760,0.127752
761,0.126894
762,0.142596
763,0.176715
764,0.125402
765,0.180094
766,0.196666
767,0.188551
768,0.114583
769,0.165293
770,0.126612
771,0.126269
772,0.164949
773,0.195300
774,0.176263
775,0.173126
776,0.167729
777,0.157550
778,0.157686
779,0.143861
780,0.110100
781,0.209096
782,0.166950
783,0.130062
784,0.161183
785,0.170643
786,0.090256
787,0.121409
788,0.117166
789,0.131976
790,0.164305
791,0.124002
792,0.062909
793,0.130389
794,0.136298
795,0.190256
796,0.100286
797,0.120198
798,0.141232
799,0.094100
800,0.123601
801,0.136801
802,0.152546
803,0.158753
804,0.165172
805,0.187415
806,0.094736
807,0.092691
808,0.181509
809,0.162602
810,0.149784
811,0.180188
812,0.190641
813,0.197937
814,0.150721
815,0.111273
816,0.070964
817,0.196112
818,0.129658
819,0.101021
820,0.064275
821,0.079778
822,0.132939
823,0.135216
824,0.198034
825,0.142769
826,0.129493
827,0.165799
828,0.158319
829,0.156510
830,0.171035
831,0.195541
832,0.157046
833,0.160223
834,0.133921
835,0.206202
836,0.079018
837,0.132483
838,0.163417
839,0.195027
840,0.171141
841,0.142484
842,0.154313
843,0.159476
844,0.147175
845,0.080278
846,0.151894
847,0.074729
848,0.101989
849,0.246185
850,0.051395
851,0.170357
852,0.187867
853,0.159658
854,0.115824
855,0.151855
856,0.182459
857,0.177498
858,0.152555
859,0.131257
860,0.167701
861,0.129922
862,0.125273
863,0.146642
864,0.140248
