step_name,loss
0,0.243326
1,0.133819
2,0.142071
3,0.215098
4,0.171618
5,0.276821
6,0.276951
7,0.178916
8,0.212619
9,0.191882
10,0.159075
11,0.224862
12,0.234365
13,0.251711
14,0.210712
15,0.199767
16,0.215114
17,0.205275
18,0.190762
19,0.203647
20,0.175973
21,0.121999
22,0.232572
23,0.233954
24,0.226153
25,0.132264
26,0.274902
27,0.197278
28,0.277262
29,0.249466
30,0.258060
31,0.145197
32,0.273551
33,0.290314
34,0.249703
35,0.245303
36,0.216779
37,0.246538
38,0.143194
39,0.191799
40,0.210557
41,0.135242
42,0.265924
43,0.245651
44,0.150886
45,0.185902
46,0.148180
47,0.181689
48,0.157767
49,0.250290
50,0.169546
51,0.177891
52,0.192923
53,0.298396
54,0.222085
55,0.205259
56,0.134309
57,0.147882
58,0.205210
59,0.175662
60,0.139392
61,0.162450
62,0.141737
63,0.134307
64,0.136303
65,0.208988
66,0.116405
67,0.202617
68,0.221974
69,0.152124
70,0.139984
71,0.201702
72,0.196673
73,0.119354
74,0.138934
75,0.141507
76,0.146388
77,0.173282
78,0.281706
79,0.265627
80,0.192993
81,0.177130
82,0.142611
83,0.281180
84,0.251562
85,0.202717
86,0.204557
87,0.256937
88,0.128870
89,0.209116
90,0.309930
91,0.291687
92,0.279458
93,0.223520
94,0.135927
95,0.216143
96,0.191373
97,0.192139
98,0.117889
99,0.154003
100,0.243683
101,0.142647
102,0.239870
103,0.217932
104,0.214676
105,0.243226
106,0.144993
107,0.212644
108,0.147171
109,0.218505
110,0.227902
111,0.212622
112,0.224762
113,0.189195
114,0.185762
115,0.139792
116,0.194341
117,0.248403
118,0.151081
119,0.178024
120,0.168647
121,0.162763
122,0.225521
123,0.223178
124,0.122367
125,0.194685
126,0.239851
127,0.244130
128,0.172504
129,0.141965
130,0.190249
131,0.141372
132,0.133807
133,0.157860
134,0.219543
135,0.169884
136,0.241669
137,0.156915
138,0.239315
139,0.220736
140,0.159146
141,0.239395
142,0.173137
143,0.238231
144,0.158113
